Дата;Год1;Год2;Год3;Год4;Год5;Год6;Год7;Год8;Год9;Год10;Год11;Год12;Год13;Год14;Год15;Год16;Год17;Год18;Год19;Год20;Год21;Год22;Год23;Год24
29.08.2025;5380;5500;5000;4990;5000;4000;5582.27;6500;4988;3748;485;100;99;300;510;1240;1409;4800;9000;14897.21;14903.1;14898.21;14901.72;6887.04
30.08.2025;5593.33;5000;4703;4000;3950;3000;4000;3800;3000;3700;483;429;200;100;100;429;887;3940;8900;14902.63;14904.3;14899.31;14900.7;6891.88
31.08.2025;5590.19;5500;5000;5000;5000;3950;5190;3940;2999;1487;297;48;50;50;50;79.99;100;3800;8500;14899.63;14902.08;14901.02;14898.12;6690
01.09.2025;5190;2950;790;790;790;1816.67;3850;5765;6254;5200;2950;501;400;880;1870;2000;3000;4248.33;5500;6743.81;8500;8500;5450;4800
02.09.2025;3500;1690;500;480;500;500;3700;4900;4200;3499;1230;400;100;400;820;1950;2200;3940;5735;7142;9100;9000;6903;4000
03.09.2025;3940;2000;501;500;501;501;3940;5600;4200;2850;479.9;50;50;50;50;501;1690;4200;6249;9000;9500;9500;7483;5400
04.09.2025;4400;2099;1590;1800;1590;960;4290;5500;4400;2020;420;44;28;44;50;300;1500;4514;6500;8990;9300;9100;6994.11;5030
05.09.2025;3780;1600;366;480;480;1500;3800;5600;4500;1800;100;44;24;48;100;440;1499;4390;5995;8490;10000;9400;5000;4600
06.09.2025;5591.99;4800;4600;4500;4596;4652;5303;6076;6000;3750;1800;10;10;10;10;10;2950;5600;9400;8800;9100;9100;9100;6892.44
07.09.2025;5600;4800;3690;3500;3500;3500;3790;3972;3750;3750;1799;940;10;10;10;10;1499;2400;4800;6937;7800;7900;6000;4000
08.09.2025;4200;3990;2500;2500;2650;4080;5592.06;6900;6877.96;4600;1499;12;10;10;989;1490;4500;6000;8000;9100;9600;9100;6000;4600
09.09.2025;3200;1600;268;280;480;1500;4990;6554;6800;5500;2099;1001;415;1500;2099;3500;4990;6253;8500;9600;11000;10500;8000;5400
10.09.2025;3590;2090;2000;1000;1790;2290;4900;6900;6900;6500;3062;1380;414.99;1479.99;1989;3499;4200;5600;8400;11000;11000;11000;7613.79;5300
11.09.2025;4201;2000;2000;480;350;300;3000;4500;3985;3350;1999;399;100;950;1944.99;2635;3950;5490;7233;8800;10300;7800;6500;4600
12.09.2025;3780;1900;1939;1900;1890;1900;5290;6884.32;6900;6696;4800;3201;501;2088;2088;2920;3600;5070;7500;8800;9314;8800;6000;4490
13.09.2025;4849;4735;3400;3100;2999;2999;4270;4300;3990;4200;3550;3150;450;501;790;1950;1600;3950;6110;7387;8500;7299;6280;6300
14.09.2025;5580.1;2487;1375;1200;1200;1400;2898;2900;1950;1620;460;100;10;10;10;42;100;2459;5000;6107.02;7041.53;6500;5284;4800
15.09.2025;4080;3950;2346;2000;2000;3464;4800;6882.49;6850.25;4990;2847;878;10;798;469;994;3060;5564;7200;9150;10500;9100;6288;6200
16.09.2025;5300;4200;3670;2500;2500;3370;4817;6891.36;6837.89;3970;1420;150;47.99;70;300;1450;3088;5370;8800;11000;14897.89;11000;8000;6000
17.09.2025;4849;3780;3490;2300;2850;3000;4871;6850;6840;6800;4500;1380;100;501;1400;4390;5500;4888.09;7330;9400;10500;8680;5290;4400
18.09.2025;4388;2970;1500;500;1000;2589;3906;5700;6400;5290;3877;2000;150;70;50;100;480;2850;5589;8400;9100;8000;6569;4500
19.09.2025;4080;3371;2970;480;2000;3600;4770;6390;6400;5200;2088;99.99;10;10;10;97;633;5400;7892.61;10700;13990;9990;7000;6881
20.09.2025;4500;4088.88;2300;3600;1500;2500;4034;4500;3992;3000;940;10;10;10;10;20;50;2118;5555;7650;9150;7490;5490;4202
21.09.2025;4800;4202;2500;2970;2490;3788;3990;3000;2726;1350;10;10;10;10;10;10;10;2750;4450;6500;7500;6665;4500;3500
22.09.2025;3200;4080;3124;3286;3100;3990;4800;6499;6557;3000;1537;10;10;10;10;10;2950;6290;8885;14902.11;14949.53;11819;7499;6891.99
23.09.2025;5591.21;4500;4000;4000;4048;4080;5588.92;6890.28;6877.67;3900;2019;100;70;100;469;1190;4100;6524.5;8690;10500;14899.08;9600;7500;6700
24.09.2025;5590.4;4665;4244;4200;4201;4200;5590;6890.05;6900;6900;5000;2689;2555.55;2689;3500;5515.68;5600;14899.24;13800;10500;13930;9100;6359;4710
25.09.2025;3700;2500;825;1450;1970;2398;4080;5749.99;6770;6247;3750;1400;627;827;1000;3002;3318;5200;6792;8336;9400;7532.7;5618;4500
26.09.2025;4800;3768;3221;2799;3016;3888;4838;5880;5784;3969;2750;626;100;299;1224;2698;3720;5173.58;6490;7490;8430;6990;6012;5419
27.09.2025;5587.72;4427.06;3780;3712;3768;4000;4373;4895;4080;3350;2750;610;100;99;609;1283;1962;4800;5915;7290;8179;7161.98;5769.54;5580
28.09.2025;5589.05;5000;4500;4425;4432;4202;4500;4050;4000;3300;1500;1350;1324;610;580;2950;4468;5600;6000;7500;8999;7500;5501;5005.35
29.09.2025;5000;4800;4000;3785;4000;3785;4521;6870;6872.28;6660;5000;4490;3940;4244;4244;5300;5590;8565;10490;14899.73;14872.89;9550;6000;4780
30.09.2025;4849;2799;400;250;399.99;950;4080;6889.46;6900;6900;6838.81;5000;4384;4384;4740;4753;5300;7078;9595;14120;14900.9;13244;7200;5150
01.10.2025;4200;940;105;99;100;1400;3002;6870;6900;6900;6872.55;5542.75;5400;5100;5100;5499;5568.59;7236;9940;14893.82;15000;10130;5500;4202
02.10.2025;4080;3300;2000;987;1387;3780;4849;6870;6900;6889;5000;3981;3187;3088;3187;3950;4990;5950;7500;10000;10500;7849;5297;4202
03.10.2025;3000;3087;2000;1450;1450;3000;4080;5000;6365;5779;4523;3202.64;2220;2131.67;2000;2987;3838;4656;6699;7500;7644.23;6604.61;5290;3250
04.10.2025;4080;4200;4033;3000;3000;3500;2840;3000;4932;3970;3000;3000;2220;2556;2220;3940;4100;4804;6488;8450;8450;7000;5000;4400
05.10.2025;4080;3842;3500;2840;2500;2840;1880;2949;3653;3092;2087;1705;712;950;1187;3500;4200;5870;7450;9000;9358;9000;5990;4500
06.10.2025;4600;4254;4475;4080;4080;4439;4500;6879.23;6900;6900;6900;5542.15;5516.44;5535;5490.74;5540.8;5600;9499;12000;14700;14900.66;10290;7048.65;5500
07.10.2025;4849;4500;4080;2840;2840;4480;4080;6250;6900;6900;6875.12;5541.01;4740;4800;5175;5542.84;5568.7;9490;10200;11732.38;12000;9200;6008;4400
08.10.2025;4800;4600;4200;2850;3090;4480;4450;5910;6900;6873.61;6180;5000;4415;4640;4740;5000;5562.57;6800;9192;10450;10450;8500;6401;4400
09.10.2025;4480;4600;4200;2987;3248;4400;4300;6000;6900;6900;6574;5000;4400;4200;4175;4490;5200;6200;7880;9500;9500;8000;6250;4780
10.10.2025;5000;4480;4475;4200;4080;4478;4849;6889.45;6900;6848.94;6000;5200;4550;4669;4669;4700;5300;6840;8700;9000;9000;8000;5250;4780
11.10.2025;5600;5588.84;5591.39;5357;5394;5587.28;4738;6273;6879.32;6873.76;6877.67;4550;3557;3189;3189;3469;5566.79;14950.88;14947.58;14950.73;14950.57;14949.07;14947.67;6890.51
12.10.2025;5589.41;4900;4408;3400;3090;4175;1002;2555;3780;4302;3370;2328.49;1379;1000;995;1997;3700;5070;8300;14904.36;14899.64;10300;5890;5543.64
13.10.2025;4090;5300;4200;2740;2000;4900;5129;6900;6900;6900;6900;3577;1978;1869;1369;4250;5600;11844;14951.9;14949.33;14990;14901.89;8999;6900
14.10.2025;5589.3;5588.02;5150;4090;4090;5590.37;5600;6900;6900;6900;6876.26;3577;3180;3577;4877;5546;5600;14952.1;14951.67;14947.98;14948.08;14999;13665;6900
15.10.2025;5592.25;5590.06;5592.26;4175;4090;5590;5600;6900;6900;6900;6876.3;3687;3687;4577;5542.86;5571.36;5600;15000;15000;15000;15000;15000;14773;6900
16.10.2025;5600;5588.93;5588.62;4900;4900;5592.43;5600;6900;6900;6900;6900;5539.5;5000;5545.28;5570.3;5600;5600;15000;15000;15000;15000;15000;15000;6900
17.10.2025;5600;5510;4877;4540;4670;5510;5600;6900;6900;6900;6900;5538.34;4785;4746;4850;5541.93;5600;15000;15000;15000;15000;15000;13400;6270
18.10.2025;4900;4900;4577;2740;2870;4090;1490;4090;6770;6754;5770;4577;3556.67;3550;3780;4825;5566.16;13000;12500;12635;14899.64;10074;7490;5470
19.10.2025;5588.07;4763;4463;4090;2870;4090;900;2500;4090;4500;2980;1540;490;490;490;2063;3839;6000;7899;12500;11000;9500;6500;5000
20.10.2025;4090;4090;4090;1850;1555;4275;5592.46;6900;6900;6900;6500;4090;1000;1000;1189;4479;5567;9500;14900.19;14952.65;14947.78;14897.91;7000;6500
21.10.2025;4000;4000;2740;198;899;3780;2000;6900;6900;6900;4050;3750;967;1167;1985;3750;5562.88;9950;13697;14950;15000;12312;7000;5290
22.10.2025;3400;3066;4090;3000;3000;4090;3400;6894.02;6900;6900;6500;1829;3450;3400;4200;5539.66;5600;10392;12000;14901.18;14899.53;10400;6500;4900
23.10.2025;5600;5595.02;5588.71;5591.04;5592.07;5600;5592.39;6894.16;6897.84;6897.99;6894.93;4424;1790;1790;2990;3450;4741;9345;14902;14897.08;14898.14;9190;2900;4000
24.10.2025;5600;3780;3722;2000;2640.4;3592;1490;6894.08;6892;6896.83;6900;5538.44;5123;3970;4000;4000;5563.86;5990;12000;12999;14000;7490;3000;2500
25.10.2025;1000;3780;3970;3700;1577;501;79;1900;2200;1477;200;100;100;100;100;1250;3970;11000;14901.37;14951.01;14950.9;14898.74;11000;6893.54
26.10.2025;5590.19;4763;4763;3970;3780;3970;3126;72;650;1450;99;10;10;11;100;72;4150;5565.92;14952.63;14948.99;14902.71;14900.92;14899.53;6800
27.10.2025;3780;3780;3534;100;897;1555;72;4900;6900;6900;6872.79;3970;510;948;4645;5541.87;5568.78;8300;14897.55;14898.88;14902.82;11000;4185;1900
28.10.2025;250;3400;3200;3970;3970;5300;4235;4999;6500;4900;4400;3970;3970;4900;5542.89;5540.67;5564.4;14897.86;11840;10000;9800;8300;5500;3899
29.10.2025;3535;399;2555;1555;1000;2950;79;4000;3450;2487;1450;1450;850;1450;2450;5543.77;5600;14902.04;14898.41;14898.78;14901.74;14905.66;13000;5309
30.10.2025;5591.8;5120;5120;4777;4895;5589.04;4297;6887.19;3000;3750;50;19;19;100;2500;5542.53;5568.45;12500;10400;9316.97;13200;14901.45;6970;6000
31.10.2025;5600;4888;4571.23;4282;4588;5600;5600;6900;6900;6900;5367;3836;3075;3255;5067;5600;5600;15000;15000;15000;15000;15000;15000;6900
01.11.2025;5600;300;49;20;25;50;299;950;2450;2933;2850;2895;2445;2450;2990;3750;5600;15000;15000;15000;15000;14499;7740;5533
02.11.2025;5592.28;3396.58;399;72;72;500;100;650;990;3330;3075;2850;2845;2845;2163;4035;5600;14000;14000;14879.73;14901.05;13000;7000;3990
03.11.2025;2870;250;97;40;72;3000;5600;6900;6900;4297;3750;3750;3750;4297;5568.02;5600;5600;14951.92;14951.89;14947.36;14949.07;14903.57;9200;6043
04.11.2025;1005;1012;1009;1004;1002;1005;3200;6482;6800;6900;6851.54;4245;3595;4777;5567.55;5600;5600;13000;10000;10000;10000;7000;4000;4297
05.11.2025;1260;1260;1100;1000;1080;1360;4777;6900;6900;6872.6;5481;4777;4487.93;4900;5595;5600;5600;13391;9000;10000;9000;8700;6000;5603
06.11.2025;2400;2220;2040;801;1988;2300;5600;4847;4847;5800;4244;3850;3850;3200;5000;5595;5600;5950;7000;7000;6000;6000;3380;5250
07.11.2025;3936;3100;3060;1376;2000;3180;5560;6700;6400;5800;4350;2680;2540;2820;4245;5595;5600;14902.37;15000;14901.07;14895.67;11000;5300;5382
08.11.2025;4230;3480;3400;1376;1178;3360;3750;3000;3200;3079;2450;2399;2399;3824;5163;5600;5600;14499;14903.32;14500;14899.25;14897.29;6970;5115
09.11.2025;5600;5063;4777;4297;4185;4777;5120;5750;6900;6900;6900;5600;5600;5600;5600;5600;5600;14952.99;15000;15000;15000;15000;14947.08;6900
10.11.2025;4777;500;500;500;500;2898;5600;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;14952.74;14948.37;14948.9;14951.32;15000;6900
11.11.2025;5592.91;2920;2000;500;500;5120;5593.99;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;15000;15000;15000;15000;15000;6900
12.11.2025;800;500;801;500;500;3900;2000;6889.86;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;15000;15000;14900.18;14903.98;14902.4;6889.14
13.11.2025;2000;2500;2000;498;801;2100;4297;6900;6900;6860;4297;3950;5500;5543.32;5540.85;5600;5600;14896.33;15000;15000;14450;14400;11000;6000
14.11.2025;999.99;1808;2000;498;498;2500;2500;6892.62;6876.94;4847;1999;2500;4288;4284;5543.59;5600;5600;13100;14000;13050;14000;14400;12500;6800
15.11.2025;4185;200;100;63;31;81.25;72;1250;1250;1999;999;440;1900;2000;3990;5600;5600;14000;14000;13000;14000;14400;10343;6800
16.11.2025;4900;1000;100;100;100;100;100;4847;4847;6500;6500;5542.74;5539.82;5600;5600;5600;5600;14879.21;14799;14000;12000;12000;10000;4900
17.11.2025;2000;240;69;72;72;100;4297;6893.42;6878.28;6878.15;5600;5120;5537.32;5540.78;5600;5600;5600;14901.43;14799;14892.72;14899.24;14799;11000;4297
18.11.2025;5200;1000;500;100;100;2500;5590.29;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;15000;15000;15000;15000;15000;6888.91
19.11.2025;5592.48;5000;1500;1000;1000;3600;5588.61;6900;6900;6900;6900;5600;5580;5600;5600;5600;5600;15000;15000;15000;15000;14903.02;14903.25;6888.51
20.11.2025;5600;5600;5600;5600;5600;5600;5600;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;15000;15000;15000;15000;15000;6900
21.11.2025;5600;4967;4297;3200;3800;4550;5600;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;14000;14000;14154;13145;14898.68;14899.51;5850
22.11.2025;5589.37;4777;4100;3000;4100;4000;4201;4297;6400;6876.82;6875.04;5539.35;5600;5600;5600;5600;5600;14000;14893.57;13000;14000;13000;9000;5814
23.11.2025;4297;4777;1555;501;1000;1000;500;3000;4541;6875.41;6880;5600;5600;5600;5600;5600;5600;8960;11981;11000;11000;12000;10000;5850
24.11.2025;2147;1814;501;100;100;1000;3000;6900;6900;6900;6900;5487.2;4777;5489.66;5600;5600;5600;13000;12522;13765;12000;13000;9000;5000
25.11.2025;3000;1000;999.99;100;465;2517;4297;6800;6900;6877.06;5920;4150;4150;5120;5600;5600;5600;12000;14000;11800;11100;10000;7000;4900
26.11.2025;4297;2500;100;72;80;2554;4297;6891.33;6900;6900;6900;5600;5600;5600;5600;5600;5600;14380;13000;10000;12000;10080;8000;4297
27.11.2025;4777;2025;465;125;275;520;4297;5000;6879.44;6900;6900;5600;5600;5600;5600;5600;5600;11800;12270;12000;14899.78;14904.77;7500;6400
28.11.2025;5120;4777;2628;1550;1962;4200;5120;6250;6900;6900;6880.62;5600;5600;5600;5600;5600;5600;13000;13000;14745;14894.54;14897.58;10000;5850
29.11.2025;4777;4777;3000;1962;2010.99;2554;4200;4297;5856;6840.85;6876.58;5600;5600;5600;5600;5600;5600;11500;11500;10300;13000;9500;5967;4297
30.11.2025;5587.15;5120;2920;500;711;801;3000;4297;5502.67;6000;6874.76;5600;5600;5600;5600;5600;5600;14765;14903.39;14765;14897.82;14898.76;7500;5905
01.12.2025;5499;3050;1700;500;1000;4297;5567;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;14156;14420;14000;14785;14785;9000;6900
02.12.2025;5120;3163;2500;1000;1000;3999;4297;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;11500;13000;10300;14156;12637;7944;6900
03.12.2025;5150;2500;2500;1777;2000;2999;3499;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;10300;11500;10000;9500;9000;6967;5600
04.12.2025;4550;1450;1000;1000;1000;2470;3000;6000;6900;6900;6900;5600;5600;5600;5600;5600;5600;10000;9500;9000;9500;9360;7353;5550
05.12.2025;4550;1500;1000;1000;1000;2554;4275;6000;6900;6900;6900;5600;5600;5600;5600;5600;5600;9000;8000;8000;8000;7947;6290;5200
06.12.2025;4400;3109;1777;1500;1500;3220;3000;4867;5890;6850;6799;5499;5487.74;5499;5600;5600;5600;8000;8004;8970;9874;8700;6147;6367
07.12.2025;5600;5600;5600;5600;5600;5600;5600;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;15000;15000;15000;15000;15000;6900
08.12.2025;5600;5600;5600;5600;5600;5600;5600;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;15000;15000;15000;15000;15000;6900
09.12.2025;5600;5600;5600;5600;5600;5600;5600;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;15000;15000;15000;15000;15000;6900
10.12.2025;4050;4550;4199;3500;3664;4550;4777;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;15000;15000;15000;15000;15000;6900
11.12.2025;5600;5587.94;4948;4550;4550;4746;5593.78;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;15000;14897.67;14903.52;15000;9787;6900
12.12.2025;5593.27;5000;4777;4297;4297;4550;5567;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;14000;14898.13;14902.73;14902.68;14900.28;12000;6000
13.12.2025;5600;4857;4180;4297;4297;4050;4297;5912;6767;6767;6767;5538.66;5600;5600;5600;5600;5600;14902.89;14902.58;14900.62;14904.76;14905.02;15000;6890.56
14.12.2025;5120;4550;4164;3450;3450;3553;3890;4297;5267;6750;6875.9;5600;5600;5600;5600;5600;5600;9000;9000;9350;9000;9000;8279;5200
15.12.2025;5120;4467;4367;4264;4297;4297;5067;6894.78;6900;6900;6900;5600;5600;5600;5600;5600;5600;14899.98;15000;15000;15000;14899.53;14902.62;6887.84
16.12.2025;4000;3442;3000;3000;3000;3600;4777;6668;6900;6900;6000;4500;4325;4550;5600;5600;5600;9960;10910;10300;9000;8700;6950;5098
17.12.2025;4777;4297;3000;2665;3000;4777;5592.96;6900;6900;6900;6900;5539.91;5543.12;5600;5600;5600;5600;10621;10344;10300;9350;8700;6950;5850
18.12.2025;2400;2025;1500;801;947;2500;3000;5400;6900;6900;6900;5600;5600;5600;5600;5600;5600;10092;9999;11500;10500;10349;7210;5900
19.12.2025;4297;4550;4297;1900;1999;3000;4550;6850;6900;6900;6876.42;5540.15;5540.69;5600;5600;5600;5600;13967;13967;14000;13967;11700;6450;5900
20.12.2025;4550;3000;4201;2000;2000;3000;3000;4843;6874.91;6900;6900;5600;5600;5600;5600;5600;5600;14000;14000;14000;13937;12000;6400;5872
21.12.2025;4297;2000;1000;700;850;1390;2500;3800;5800;6873.82;6900;5600;5600;5600;5600;5600;5600;7450;7450;7450;7350;7450;5950;4297
22.12.2025;3500;2000;1150;1000;1000;2000;3900;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;8000;8000;8000;7450;7450;6000;5000
23.12.2025;4500;1800;1900;1200;1800;4297;5504;6767;6900;6900;6900;5600;5600;5600;5600;5600;5600;8367;8466;8000;7888;7156;5150;4297
24.12.2025;5600;5600;5600;5600;5600;5600;5600;6900;6900;6900;6900;5600;5600;5600;5600;5600;5600;15000;15000;15000;15000;15000;15000;6900
25.12.2025;4297;2995;2000;1500;2000;2500;3000;4843;5400;5000;4600;4250;4250;4600;5467;5600;5600;7150;7150;7150;7150;6700;5900;4961
26.12.2025;4214;2995;1200;1000;1000;2500;3000;4297;5483;5900;6000;5516.24;5538.93;5600;5600;5600;5564.46;5810;6138;5760;5600;5537;4500;3000
27.12.2025;5350;4550;4550;4297;4505.66;4550;5150;4300;5867;6852.24;6875.51;5600;5600;5600;5600;5600;5600;7450;7450;7450;7150;6950;5800;5724
28.12.2025;5591.61;5300;4980;4297;4297;5000;5067;4250;6100;6874.58;6900;5600;5600;5600;5600;5600;5600;13500;14678;14755;14810;14678;8500;6000
29.12.2025;3100;3100;3100;3500;3500;4818;5210;5800;6900;6900;6900;5600;5600;5600;5600;5600;5600;13700;14821;14678;14892.22;14879.42;10678;6776
30.12.2025;5500;5300;5300;5300;5300;4297;5200;5290;6875.8;6900;6800;5537.46;5400;5600;5600;5600;5600;13000;13000;12700;12700;12437;7500;6389
31.12.2025;5600;5300;5300;5300;5300;5267;5480;6000;6700;6900;6877.81;5600;5600;5600;5600;5600;5600;15000;14947.88;14898.43;13700;11500;7500;6850
